Epoch 164/300 | Total   0.7572 | CE   0.2672 | KL   0.8319
Epoch 165/300 | Total   0.7591 | CE   0.2683 | KL   0.8290
Epoch 166/300 | Total   0.7629 | CE   0.2716 | KL   0.8257
Epoch 167/300 | Total   0.7648 | CE   0.2732 | KL   0.8220
Epoch 168/300 | Total   0.7665 | CE   0.2757 | KL   0.8166
Epoch 169/300 | Total   0.7683 | CE   0.2782 | KL   0.8115
Epoch 170/300 | Total   0.7710 | CE   0.2809 | KL   0.8074
Epoch 171/300 | Total   0.7724 | CE   0.2826 | KL   0.8030
Epoch 172/300 | Total   0.7752 | CE   0.2849 | KL   0.7999
Epoch 173/300 | Total   0.7773 | CE   0.2879 | KL   0.7943
Epoch 174/300 | Total   0.7792 | CE   0.2898 | KL   0.7906
Epoch 175/300 | Total   0.7816 | CE   0.2927 | KL   0.7860
Epoch 176/300 | Total   0.7837 | CE   0.2955 | KL   0.7812
Epoch 177/300 | Total   0.7851 | CE   0.2981 | KL   0.7754
Epoch 178/300 | Total   0.7874 | CE   0.3001 | KL   0.7721
Epoch 179/300 | Total   0.7901 | CE   0.3032 | KL   0.7680
Epoch 180/300 | Total   0.7922 | CE   0.3069 | KL   0.7619
Epoch 181/300 | Total   0.7938 | CE   0.3092 | KL   0.7572
Epoch 182/300 | Total   0.7964 | CE   0.3117 | KL   0.7538
Epoch 183/300 | Total   0.7981 | CE   0.3145 | KL   0.7486
Epoch 184/300 | Total   0.8003 | CE   0.3157 | KL   0.7467
Epoch 185/300 | Total   0.8020 | CE   0.3206 | KL   0.7384
Epoch 186/300 | Total   0.8040 | CE   0.3229 | KL   0.7345
Epoch 187/300 | Total   0.8049 | CE   0.3258 | KL   0.7282
Epoch 188/300 | Total   0.8076 | CE   0.3295 | KL   0.7233
Epoch 189/300 | Total   0.8096 | CE   0.3324 | KL   0.7187
Epoch 190/300 | Total   0.8118 | CE   0.3364 | KL   0.7128
Epoch 191/300 | Total   0.8129 | CE   0.3390 | KL   0.7072
Epoch 192/300 | Total   0.8154 | CE   0.3423 | KL   0.7029
Epoch 193/300 | Total   0.8163 | CE   0.3452 | KL   0.6968
Epoch 194/300 | Total   0.8187 | CE   0.3487 | KL   0.6921
Epoch 195/300 | Total   0.8205 | CE   0.3518 | KL   0.6873
Epoch 196/300 | Total   0.8221 | CE   0.3550 | KL   0.6820
Epoch 197/300 | Total   0.8238 | CE   0.3586 | KL   0.6762
Epoch 198/300 | Total   0.8261 | CE   0.3636 | KL   0.6693
Epoch 199/300 | Total   0.8279 | CE   0.3668 | KL   0.6643
Epoch 200/300 | Total   0.8292 | CE   0.3692 | KL   0.6599
