Token 3 (id=27): bits = 1.136, entropy = 2.854
Token 4 (id=27): bits = 0.000, entropy = 0.000
Token 5 (id=52): bits = 0.008, entropy = 0.051
Token 6 (id=25): bits = 1.582, entropy = 3.299
Token 7 (id=25): bits = 0.001, entropy = 0.010
Token 8 (id=54): bits = 0.000, entropy = 0.000
Token 9 (id=36): bits = 1.102, entropy = 2.950
Token 10 (id=2): bits = -0.000, entropy = 0.000
Token 1 (id=44): bits = 0.193, entropy = 0.823
Token 2 (id=54): bits = 0.040, entropy = 0.182
Token 3 (id=23): bits = 1.500, entropy = 2.537
Token 4 (id=23): bits = 0.000, entropy = 0.000
Token 5 (id=52): bits = 0.154, entropy = 0.473
Token 6 (id=4): bits = 1.239, entropy = 2.838
Token 7 (id=4): bits = 0.000, entropy = 0.000
Token 8 (id=53): bits = 0.000, entropy = 0.000
Token 9 (id=27): bits = 1.072, entropy = 2.626
Token 10 (id=2): bits = -0.000, entropy = 0.000
Token 1 (id=25): bits = 0.392, entropy = 0.993
Token 2 (id=54): bits = 0.002, entropy = 0.016
Token 3 (id=45): bits = 0.485, entropy = 1.749
Token 4 (id=45): bits = 0.000, entropy = 0.000
Token 5 (id=52): bits = 0.747, entropy = 0.973
Token 6 (id=20): bits = 1.370, entropy = 2.669
Token 7 (id=20): bits = 0.000, entropy = 0.001
Token 8 (id=53): bits = 0.000, entropy = 0.000
Token 9 (id=27): bits = 1.186, entropy = 2.953
Token 10 (id=2): bits = -0.000, entropy = 0.000
Token 1 (id=9): bits = 1.445, entropy = 2.065
Token 2 (id=53): bits = 0.315, entropy = 0.717
Token 3 (id=51): bits = 1.263, entropy = 2.094
Token 4 (id=51): bits = 0.000, entropy = 0.005
Token 5 (id=52): bits = 0.019, entropy = 0.102
Token 6 (id=23): bits = 0.733, entropy = 2.053
Token 7 (id=23): bits = 0.000, entropy = 0.000
Token 8 (id=54): bits = 0.000, entropy = 0.001
Token 9 (id=14): bits = 0.500, entropy = 1.851
Token 10 (id=2): bits = -0.000, entropy = 0.000
Token 1 (id=27): bits = 0.756, entropy = 1.835
Token 2 (id=53): bits = 0.040, entropy = 0.199
Token 3 (id=45): bits = 1.383, entropy = 2.562
